Especie;Familia;Nombre común;Genero;Diámetro;Altura;Copa;Riego;Unidades;Código vía
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;3.5;0.5;DIFUSORES;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;208
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;208
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;208
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.04;3.5;0.5;DIFUSORES;1;2363
Acer_negundo;Aceraceae;ARCE DE HOJAS DE FRESNO;ACER;0.05;3.5;0.5;DIFUSORES;1;2363
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.02;1.8;0.3;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.03;2;0.6;ASPERSION;1;3643
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.3;0.8;ASPERSION;1;3643
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.5;0.8;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.6;0.9;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.6;1.2;ASPERSION;1;4018
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3;2;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.06;3;1.5;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.6;0.7;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.07;3.4;2;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.2;0.5;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;2.5;1;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.07;3;2;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2;0.5;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2;0.5;ASPERSION;1;3642
